timeStamp,latency
1688493040.0,696.81
1688493045.0,687.44
1688493050.0,686.64
1688493055.0,688.25
1688493055.0,745.84
1688493060.0,866.13
1688493065.0,722.05
1688493070.0,720.11
1688493075.0,827.32
1688493080.0,708.8
1688493085.0,1133.98
1688493090.0,1225.33
1688493095.0,1089.28
1688493100.0,1482.68
1688493105.0,1631.51
1688493110.0,1987.05
1688493115.0,1919.66
1688493120.0,1894.74
1688493125.0,1498.16
1688493130.0,1084.44
1688493135.0,985.1
1688493140.0,791.26
1688493145.0,797.91
1688493150.0,713.7
1688493150.0,795.79
1688493155.0,840.52
1688493160.0,933.71
1688493165.0,828.44
1688493170.0,844.29
1688493175.0,700.59
1688493175.0,690.94
1688493180.0,793.99
1688493185.0,789.54
1688493190.0,787.93
1688493195.0,888.44
1688493200.0,998.26
1688493205.0,960.06
1688493210.0,1004.01
1688493215.0,1111.52
1688493220.0,1025.31
1688493225.0,1091.08
1688493230.0,1086.57
1688493235.0,1187.55
1688493240.0,1271.21
1688493245.0,1341.67
1688493250.0,1283.13
1688493255.0,1486.05
1688493260.0,1540.24
1688493265.0,1573.13
1688493270.0,1610.48
1688493275.0,1587.16
1688493280.0,1702.89
1688493285.0,1548.43
1688493290.0,1388.98
1688493295.0,1593.33
1688493300.0,1852.11
1688493305.0,1281.59
1688493310.0,1335.81
1688493315.0,1396.08
1688493320.0,1290.27
1688493325.0,1120.38
1688493330.0,1089.28
1688493335.0,786.75
1688493340.0,847.74
1688493345.0,851.78
1688493350.0,909.84
1688493355.0,785.34
1688493360.0,868.73
1688493365.0,693.43
1688493370.0,864.55
1688493375.0,846.15
1688493380.0,685.24
1688493385.0,847.55
1688493390.0,846.33
1688493395.0,806.57
1688493400.0,818.57
1688493405.0,831.42
1688493410.0,689.25
1688493415.0,769.14
1688493420.0,792.41
1688493425.0,687.29
1688493430.0,692.86
1688493430.0,708.9
1688493435.0,1080.81
1688493440.0,1573.56
1688493445.0,2056.47
1688493450.0,2035.06
1688493455.0,1954.27
1688493460.0,2035.1
1688493465.0,1744.51
1688493470.0,1735.0
1688493475.0,1646.43
1688493480.0,1287.4
1688493485.0,982.47
1688493490.0,988.43
1688493495.0,867.19
1688493500.0,877.38
1688493505.0,848.49
1688493510.0,944.19
1688493515.0,994.6
1688493520.0,1011.46
1688493525.0,843.0
1688493530.0,853.59
1688493535.0,1131.32
1688493540.0,891.39
1688493545.0,833.42
1688493550.0,919.15
1688493555.0,927.98
1688493560.0,694.19
1688493565.0,898.14
1688493570.0,837.49
1688493575.0,725.69
1688493575.0,775.13
1688493580.0,772.98
1688493585.0,899.25
1688493590.0,708.91
1688493595.0,775.45
1688493600.0,790.31
1688493605.0,689.3
1688493605.0,938.64
1688493610.0,932.53
1688493615.0,848.84
1688493620.0,693.07
1688493625.0,729.92
1688493630.0,828.69
1688493635.0,810.57
1688493640.0,847.62
1688493645.0,679.92
1688493645.0,831.68
1688493650.0,927.48
1688493655.0,885.84
1688493660.0,899.05
1688493665.0,1747.42
1688493670.0,1710.7
1688493675.0,1288.61
1688493680.0,1685.27
1688493685.0,1688.61
1688493690.0,1686.18
1688493695.0,1802.15
1688493700.0,1078.37
1688493705.0,900.02
1688493710.0,902.74
1688493715.0,693.92
1688493720.0,805.59
1688493725.0,766.74
1688493730.0,724.08
1688493735.0,824.61
1688493740.0,742.82
1688493740.0,761.53
1688493745.0,687.17
1688493745.0,678.12
1688493750.0,707.6
1688493750.0,733.52
1688493755.0,805.18
1688493760.0,683.93
1688493760.0,688.22
1688493765.0,684.38
1688493770.0,985.07
1688493775.0,1037.55
1688493780.0,1068.09
1688493785.0,1070.53
1688493790.0,1635.63
1688493795.0,1334.27
1688493800.0,1488.06
1688493805.0,1587.26
1688493810.0,1846.0
1688493815.0,1706.73
1688493820.0,1671.47
1688493825.0,1697.36
1688493830.0,1166.31
1688493835.0,1083.29
1688493840.0,944.69
1688493845.0,899.8
1688493850.0,886.11
1688493855.0,710.94
1688493860.0,686.5
1688493865.0,727.48
1688493870.0,841.8
1688493875.0,699.51
1688493880.0,939.01
1688493885.0,803.46
1688493890.0,737.87
1688493890.0,681.74
1688493895.0,837.43
1688493900.0,830.79
1688493905.0,729.7
1688493910.0,757.2
1688493915.0,812.03
